iso,stable,loss,gain,disturb,net,change,gfw_area__ha
ABW,113.0386896,6.764463031,19.23965551,0.676439777,12.47519248,10.35459995,18193.84022
AFG,368081.8667,16604.62185,10741.05636,1146.238925,-5863.565488,-1.519719958,64385932.52
AGO,44546560.19,3412610.65,1224125.363,1623929.359,-2188485.287,-4.413770199,124742581.1
AIA,890.1523992,51.50785777,69.88150957,9.731989722,18.3736518,1.931239963,8330.330869
ALA,76419.0285,7426.981831,2582.85031,12417.96971,-4844.131521,-5.032129765,150631.2013
ALB,814631.916,40701.84468,16472.22313,41219.90603,-24229.62155,-2.702529907,2873542.76
AND,22336.5143,57.83092571,120.0828733,100.2293444,62.25194756,0.276742011,45195.08207
ARE,492.3821985,0.00E+00,595.9541302,0.00E+00,595.9541302,121.0350037,7119678.415
ARG,27610827.4,4664485.026,1107731.996,1744460.007,-3556753.031,-10.45489979,278009661
ARM,365708.0012,6154.364297,12255.9774,1426.125983,6101.613102,1.634559989,2969016.348
ATF,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,786754.1745
ATG,12850.20565,979.9685569,361.5565234,1791.706378,-618.4120336,-3.958620071,43580.99497
AUS,80328275.65,2517149.647,1600595.931,6456183.336,-916553.7155,-1.026360035,768803974.4
AUT,3881301.581,137385.7482,36316.69879,447061.3484,-101069.0494,-2.263200045,8385823.853
AZE,1035067.601,28864.52361,30269.9933,3743.588422,1405.469684,0.131638005,8623547.866
BDI,817066.142,34711.0218,16374.25049,54036.9026,-18336.77131,-2.024339914,2693529.154
BEL,919730.7707,44808.30438,41686.96334,105220.6899,-3121.341038,-0.291779995,3070746.594
BEN,4299628.958,539499.6983,181408.5124,187710.3404,-358091.1859,-7.123579979,11542319.03
BES,1993.683682,67.50934402,270.1831211,59.5106865,202.6737771,9.556929588,32369.42013
BFA,2352383.739,151938.0505,142766.4951,68670.6831,-9171.555336,-0.356454998,27341749.08
BGD,3313032.511,115404.6006,317862.2153,612964.0616,202457.6148,5.009590149,13938444.61
BGR,4005034.475,46473.93766,106351.2242,204540.1578,59877.28656,1.406870008,11158767.12
BHR,55.03928004,0.00E+00,62.2524651,0.00E+00,62.2524651,113.1050034,71512.54824
BHS,81747.31984,10598.89884,6316.442552,12403.69924,-4282.456284,-4.088260174,1338807.991
BIH,2796590.727,31762.04887,53275.76297,49758.20777,21513.7141,0.747494996,5106885.312
BLM,676.7771996,30.4928369,2.565391504,3.005307074,-27.92744539,-3.931920052,2470.77717
BLR,7407088.671,442151.5198,963621.3303,683220.8007,521469.8105,6.111599922,20706980.83
BLZ,1254065.069,152882.666,18602.46409,195407.8138,-134280.2019,-8.380149841,2198944.898
BMU,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,6806.274006
BOL,52561114.22,3941665.136,617221.733,2706922.118,-3324443.403,-5.614689827,108339299.2
BRA,413722809.3,36141245.77,8062324.946,23421628.86,-28078920.83,-5.932759762,850036547.5
BRB,7200.010791,222.7540923,376.6952744,203.4063701,153.9411821,2.018589973,43463.96412
BRN,484942.5848,10606.02793,7531.553715,28194.881,-3074.474214,-0.587018013,577779.9301
BTN,2895401.964,13679.4498,28220.64226,51832.54473,14541.19246,0.491106004,3876298.94
BWA,164360.4894,14571.47395,13303.39283,302.6771643,-1268.08112,-0.707495987,57787082.3
CAF,53227478.2,1210279.388,482448.8545,785267.1289,-727830.5332,-1.317980051,62019966.7
CAN,257102961.5,25165466.41,16965284.91,14863606.53,-8200181.505,-2.75977993,995519376.1
CHE,1523090.726,27521.90605,15072.54164,71105.46397,-12449.36441,-0.767664015,4124571.175
CHL,15702009.87,746166.3521,731816.047,1798848.115,-14350.30518,-0.0786447,75758031.13
CHN,202215007.6,4544793.47,6689645.413,17176985.64,2144851.943,0.957792997,938225139.9
CIV,16844645.4,2530533.349,881678.967,4377647.841,-1648854.382,-6.941730022,32165807.21
CMR,33948994.88,976901.7875,351062.9551,1672205.914,-625838.8324,-1.71002996,46604003.77
COD,146862160.8,7593082.77,1591178.08,14566288.79,-6001904.69,-3.550960064,232913005.7
COG,22820170.48,444820.9271,113139.3628,830609.0512,-331681.5643,-1.376520038,34173218.71
COL,73177488.35,2825977.17,1085199.829,3286546.499,-1740777.341,-2.195460081,113675882.1
COM,122676.0253,2428.118256,81.7742108,9591.551037,-2346.344046,-1.741960049,167314.9993
CPV,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,409095.2489
CRI,3501690.481,149651.4362,57877.23856,213550.3992,-91774.19765,-2.374560118,5117680.32
CUB,3014135.495,170192.9737,164351.0873,318511.6618,-5841.886383,-0.166776001,11073065.37
CUW,5269.000308,78.01264612,175.9190732,11.13514581,97.90642707,1.82723999,43771.14311
CYM,4476.544149,272.7583944,496.9341203,199.6851885,224.175726,4.529729843,28040.76099
CYP,139986.23,2177.945868,3222.200326,2208.940906,1044.254459,0.72330302,571965.5807
CZE,2621612.774,152439.8236,77300.14896,526622.2395,-75139.67468,-2.276499987,7883578.542
DEU,11675410.95,344276.3738,342764.0011,1086578.558,-1512.372724,-0.0115393,35783935.11
DJI,32.97489316,2.260212537,1.4302013,0.00E+00,-0.830011237,-2.355639935,2186344.93
DMA,45271.82353,1056.108116,79.9493593,25049.94302,-976.1587563,-1.367589951,75421.42935
DNK,417061.2133,55388.41325,95181.87352,65361.18882,39793.46027,7.399149895,4314484.686
DOM,2264165.131,122957.263,54804.57498,291468.1225,-68152.68801,-2.544349909,4809209.234
DZA,1457267.941,64038.11203,89151.77742,240360.5685,25113.66539,1.425559998,230804982.3
ECU,17081252.46,494949.0731,218567.5313,899419.4671,-276381.5418,-1.495929956,25611561.93
EGY,16370.5046,2044.739685,4206.15268,15.30581141,2161.412994,11.72729969,98376418.47
ERI,57161.77211,7.356795319,10676.06658,121.0988717,10668.70978,18.62220001,12045741.4
ESH,0.070589496,0.00E+00,0.846848157,0.00E+00,0.846848157,1199.680054,26733487.91
ESP,11431831.43,348144.4462,381025.3897,1239765.56,32880.9435,0.252548009,50604375.86
EST,1932398.049,237544.7034,165132.2195,371179.0615,-72412.48394,-2.849630117,4548988.733
ETH,18890508.72,1141912.662,403581.9316,406015.4693,-738330.7306,-3.612469912,112952077.9
FIN,16589946.98,1728477.533,1357034.206,3174829.638,-371443.3277,-1.728180051,33694010.19
FJI,1107681.075,26886.19645,5409.634482,37415.57065,-21476.56197,-1.832499981,1896347.677
FLK,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,1239737.234
FRA,15762841.5,704313.6989,695650.863,1223707.566,-8662.835919,-0.048967801,54951621.88
FRO,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,143961.446
FSM,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,77485.66407
GAB,23270672.31,148991.2306,50031.06659,521335.4097,-98960.16401,-0.413349986,26454983.63
GBR,2421686.653,391562.6061,473125.7693,184814.7436,81563.16318,2.720530033,24548583.99
GEO,3238385.425,17955.31797,93537.29397,7227.517383,75581.976,2.31592989,6984461.123
GGY,1774.35386,36.00551052,78.85813205,4.535325275,42.85262153,2.361170053,8845.128512
GHA,8669047.986,884921.1596,312123.9868,1689032.583,-572797.1728,-5.09469986,23832427.12
GIB,144.1995968,1.061191327,0.56179068,0.124845825,-0.499400647,-0.343499988,720.8133892
GIN,14569792.29,1862332.281,272657.2335,2620487.834,-1589675.047,-8.34360981,24481617.4
GLP,90314.58778,2033.17428,1509.217279,2435.976103,-523.9570011,-0.552792013,165023.6967
GMB,201174.8299,21082.31905,15326.75719,4785.290155,-5755.561866,-2.535020113,1067050.523
GNB,1880123.88,223318.1362,43268.88035,251215.6454,-180049.2559,-7.646510124,3388227.911
GNQ,2448327.011,44547.66424,5166.85211,142302.5046,-39380.81213,-1.494429946,2695941.248
GRC,4598100.059,90399.35144,71537.47043,227256.4763,-18861.88101,-0.38370201,13257480.22
GRD,26406.91274,674.6264044,85.03151119,2324.867408,-589.5948932,-2.004990101,35953.09587
GTM,5808934.441,760663.6792,291032.6654,1205652.555,-469631.0138,-6.04008007,10915281.03
GUF,7946900.217,32797.17931,10102.61659,57454.37012,-22694.56272,-0.282371014,8330094.906
GUY,18303217.15,97833.75994,30502.25134,184827.3681,-67331.5086,-0.362271994,20974406.57
HKG,70404.09313,762.1030183,676.0489667,1352.202477,-86.05405159,-0.118665002,112928
HND,6898082.386,392905.0107,137965.4265,1203472.937,-254939.5842,-3.001250029,11228974.11
HRV,2371445.722,65944.74052,59572.84425,100864.3961,-6371.896272,-0.251035005,5707857.574
HTI,1091792.77,17274.05136,13832.45061,69415.61229,-3441.600754,-0.29203701,2710674.976
HUN,1677658.31,122671.7652,207301.8336,249845.2911,84630.06845,4.127930164,9305287.254
IDN,124187188.6,9000754.243,4882137.053,24056932.8,-4118617.19,-2.619240046,189024478.6
IMN,5582.411879,1144.651722,999.793023,177.4652964,-144.8586986,-2.098020077,57967.28972
IND,59241391.75,1007623.993,1881691.829,6171562.907,874067.8366,1.31596005,315280002.9
IRL,388037.8442,94639.67857,284264.5391,77309.85489,189624.8605,33.86240005,7036676.633
IRN,1897089.625,18027.51898,49762.62817,2490.701451,31735.1092,1.654929996,162174073.5
IRQ,28631.25778,553.1755485,9456.878192,5.048216217,8903.702643,30.50309944,44514841.66
ISL,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,10222449.42
ISR,56109.83105,2379.467981,5317.699141,1971.904565,2938.23116,4.859700203,2215865.057
ITA,9262565.303,219582.124,189387.3113,600229.1351,-30194.81277,-0.299479991,30075506.33
JAM,757875.2923,13055.17963,5832.946607,52147.34692,-7222.233025,-0.877466023,1100003.394
JEY,1956.22107,24.86424194,110.4045552,25.61831908,85.54031327,4.262740135,12515.62114
JOR,8218.553604,45.37141445,871.675782,11.16408841,826.3043676,9.985440254,8911185.175
JPN,25995770.71,364928.0927,221005.2609,742971.9045,-143922.8318,-0.531008005,37246810.43
KAZ,3892793.963,40807.88337,71223.90122,20018.68375,30416.01785,0.769321024,273053625.6
KEN,4125013.441,402328.1519,117012.534,235368.7501,-285315.6179,-5.990610123,58598375.95
KGZ,874670.8687,9754.728852,67691.49729,1453.983505,57936.76844,6.540019989,19864934.94
KHM,6195015.302,2787894.771,147334.2989,1337093.472,-2640560.472,-25.58679962,18135961.97
KNA,13544.15703,256.3558888,426.3309754,551.1173478,169.9750866,1.184360027,26712.07242
KOR,5625291.264,171087.2188,109265.7145,259174.4726,-61821.5043,-1.020910025,10022923
KWT,13.44885141,0.00E+00,51.43582891,0.00E+00,51.43582891,382.45401,1738874.86
LAO,13290214.82,1573920.607,101748.6078,5686879.288,-1472171.999,-7.163509846,23000163.21
LBN,111857.7871,3716.71194,6369.420631,7413.31517,2652.70869,2.156879902,1023805.803
LBR,6420359.281,391822.1855,57761.77097,2529281.886,-334060.4146,-3.576100111,9591808.842
LBY,23178.66077,663.0951365,1498.71409,182.5139319,835.6189531,3.478219986,161605424.8
LCA,49214.24342,835.4814613,143.5000295,657.5670584,-691.9814318,-1.364660025,61442.97619
LIE,8568.165814,166.9238252,56.40686066,178.029241,-110.5169646,-1.239940047,16203.91652
LKA,3834333.928,234687.3583,60079.30258,533782.3489,-174608.0558,-3.793519974,6583740.265
LSO,417831.7272,214.8973723,2973.217692,415.2720605,2758.32032,0.659156978,3054527.493
LTU,1722243.843,116688.7894,241549.196,315129.405,124860.4066,5.79651022,6501683.987
LUX,96292.56806,2551.994594,2851.13919,9845.718885,299.1445956,0.27522701,258155.429
LVA,2416418.947,285811.9717,290490.5375,681009.7865,4678.565765,0.138286993,6471010.195
MAC,405.2492611,36.62728992,6.781514734,16.13679371,-29.84577519,-6.516359806,3412.868253
MAF,1686.806173,72.64260037,24.31129097,35.95584907,-48.3313094,-2.691950083,5616.772596
MAR,1139155.464,39688.66395,81646.01758,50160.94444,41957.35363,3.413909912,41347360.42
MCO,8.391696887,0.00E+00,0.335679309,0.055945862,0.335679309,3.973649979,235.4909927
MDA,286616.5213,5915.314839,36546.53188,28517.31139,30631.21704,9.540980339,3390786.9
MDG,11490021.65,1197277.811,173321.6524,4694528.525,-1023956.159,-5.89097023,59144636.55
MDV,3447.377276,17.42483192,31.49008057,28.73735398,14.06524865,0.402606994,29968.46239
MEX,57634185.01,2213417.468,1423109.695,3396670.714,-790307.7724,-1.249609947,195202320.3
MKD,807448.5667,24292.74316,12568.3223,46198.13181,-11724.42086,-1.335450053,2482511.061
MLI,7230082.616,459693.6949,203580.3295,124666.7724,-256113.3654,-3.277440071,125119407.3
MLT,92.44779409,0.125121124,11.26713514,2.942780469,11.14201401,11.6651001,32336.77695
MMR,35420448.9,2227709.326,636628.0598,8391213.627,-1591081.266,-3.455909967,66929740.55
MNE,630414.7868,21984.18065,9784.087794,18673.69357,-12200.09285,-1.817999959,1333532.974
MNG,7224955.282,342659.5276,78601.21451,223549.8397,-264058.3131,-3.389199972,156625024.1
MOZ,35317855.28,4897465.164,583187.7052,2024996.165,-4314277.459,-10.21370029,78729703.29
MRT,411.2010682,1.181878259,711.4174084,2.436223169,710.2355302,171.2160034,104117405.2
MSR,5345.16442,71.17158223,249.9015654,334.9969414,178.7299832,3.107630014,10064.54735
MTQ,74927.60153,2847.666335,678.1005399,2431.617302,-2169.565795,-2.704960108,111798.2469
MUS,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,202740.9923
MWI,2317735.588,263937.6887,41602.096,239353.8248,-222335.5927,-7.881360054,11802871
MYS,18799585.55,2129694.713,1004944.913,8829933.147,-1124749.8,-3.779500008,32938342.2
MYT,27533.7295,274.9847884,249.0903105,4538.964185,-25.89447795,-0.080050401,39166.59005
NAM,150086.7761,15674.12658,15114.34659,280.471125,-559.7799892,-0.337134004,82386293.59
NCL,1391815.628,16434.19023,1854.902943,30234.27428,-14579.28729,-1.013520002,1882703.188
NER,14909.16067,966.8816259,5781.700434,5.85283443,4814.818808,30.31640053,118367073.2
NGA,20636992.13,2396550.386,927801.1658,1181231.791,-1468749.22,-6.065499783,90841013.6
NIC,5726682.664,974025.8372,142444.8673,1034769.473,-831580.9699,-10.75020027,12821977.23
NLD,488231.2933,23484.65073,60819.79219,25410.42474,37335.14146,6.950910091,3766581.178
NOR,9465432.115,621934.9451,476527.2834,670142.8423,-145407.6617,-1.351690054,32512296.86
NPL,6718407.852,73724.83158,174008.0421,55029.27995,100283.2105,1.464599967,14766263.55
NRU,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,2215.105814
NZL,9710144.885,543333.0853,434872.9593,876751.9462,-108460.126,-0.97446698,26870943.99
OMN,26829.30748,18.51844569,1548.271524,14.68357675,1529.753078,5.694749832,30932513.19
PAK,2057786.046,38695.11242,133481.2175,7457.595683,94786.10513,4.505169868,87417713.76
PAN,4830714.273,275409.8437,84108.71468,367526.6978,-191301.129,-3.494950056,7510388.084
PER,74322642.46,1192383.946,430185.9945,3035642.013,-762197.9519,-0.970326006,129281649.5
PHL,18693542.8,472083.956,172161.4275,1571875.854,-299922.5285,-1.446280003,29585680.87
PLW,38848.1056,220.129149,135.2841344,632.7983625,-84.84501462,-0.213709995,48750.62428
PNG,38971685.43,298241.8823,266144.7646,2063878.329,-32097.11767,-0.077653401,46363129.6
POL,9114498.454,485398.3536,892077.2889,975192.7957,406678.9353,3.84562993,31240006.01
PRI,472238.677,12060.08239,7140.682717,69460.6421,-4919.399669,-0.888364971,897047.3759
PRK,6061637.154,213515.9692,288492.6822,394941.5966,74976.71296,1.124070048,12275512.84
PRT,1647004.443,272646.6644,168607.4748,1150971.793,-104039.1895,-3.388210058,9187803.316
PRY,14232500.5,5810873.156,642486.3803,883902.7637,-5168386.776,-24.69689941,39958591.79
PSE,5952.80973,86.38087599,1697.133218,13.35120919,1610.752342,26.6128006,621996.1418
QAT,25.64411087,0.00E+00,37.96323237,0.00E+00,37.96323237,148.0390015,1162484.531
REU,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,251265.2068
ROU,7427728.728,105707.24,223890.8045,534902.6883,118183.5645,1.464779973,23833860.14
RUS,686224764.9,37396856.96,37220768.27,51623646.32,-176088.695,-0.0227139,1692582280
RWA,513651.3167,33031.74562,16061.38275,47123.12402,-16970.36287,-2.857899904,2527768.544
SAU,16036.47174,0.00E+00,7598.985564,0.493650037,7598.985564,47.38410187,191619240.7
SDN,3715927.944,85308.97738,216597.7511,2345.334815,131288.7737,3.451719999,187212842.6
SEN,3891937.36,108281.9406,77187.3919,69440.06703,-31094.54872,-0.764057994,19688970.52
SGP,16318.213,2355.764778,1976.969808,1613.344175,-378.7949707,-1.867149949,69702.46915
SJM,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,6034333.027
SLB,2450208.008,27720.26822,4916.629708,228080.6678,-22803.63852,-0.842702985,2853282.773
SLE,3397505.86,646773.718,102136.7953,1993843.215,-544636.9228,-9.01996994,7260113.917
SLV,1229320.674,36516.4356,14647.3911,65853.53843,-21869.04451,-1.642199993,2042274.757
SMR,1051.506875,7.8072427,19.12292026,3.792145819,11.31567756,1.064389944,6121.556076
SOM,167884.9217,7792.000091,4188.832679,1285.957762,-3603.167411,-2.036109924,63353637.32
SPM,1300.052029,16.41905013,31.72241763,2.651412012,15.30336749,1.16012001,22665.70348
SRB,2877987.697,40867.45608,76226.92908,82743.15692,35359.473,1.17802,7823164.384
SSD,25841911.94,801955.6432,1082861.401,96714.82231,280905.7573,1.050480008,62810211.11
STP,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,100223.4001
SUR,13408434.64,81504.18138,23723.919,154506.5484,-57780.26238,-0.423471987,14642554.99
SVK,2127948.326,74716.97983,35796.94761,264843.1225,-38920.03223,-1.577299953,4909927.051
SVN,1265908.483,14322.77802,7767.609089,78528.31584,-6555.168931,-0.482437998,1998091.299
SWE,21241909.9,2633627.627,1671299.507,3655699.634,-962328.1205,-3.495409966,45004727.45
SWZ,568329.1475,44997.17519,23455.01036,97777.73035,-21542.16483,-3.02940011,1738325.798
SXM,1106.632087,44.01968395,16.48021498,13.25676604,-27.53946896,-2.3661201,3800.720166
SYC,1181.974881,242.1821713,1.442033191,3.264646356,-240.7401382,-16.86540031,49120.0038
SYR,113941.9389,18001.94457,5710.720621,14379.67184,-12291.22395,-8.400010109,18691756.32
TCA,1080.531944,39.85079083,63.76670968,49.63803136,23.91591885,2.044059992,99145.11411
TCD,9444707.709,1100419.115,256622.0419,232177.0329,-843797.0728,-7.829390049,126996302.1
TGO,1985196.841,180924.8314,47915.69198,103808.7226,-133009.1394,-5.859610081,5699532.491
THA,18845385.17,1747956.193,1842372.617,4057502.264,94416.42424,0.38301599,51405455.95
TJK,153480.1691,3592.432958,19712.0273,76.54588408,16119.59434,10.25749969,14211321.73
TKM,3439.3155,439.3777333,419.0480611,45.48363206,-20.32967222,-0.518061996,48959303.82
TLS,1068266.707,12383.61704,11133.80777,56885.85339,-1249.809277,-0.109869003,1491547.731
TTO,335960.331,14919.53669,3320.427198,13789.96102,-11599.10949,-3.180710077,515913.2601
TUN,240737.9946,14967.45644,10133.42684,23713.92378,-4834.029595,-1.730029941,15486357.96
TUR,12756770.3,385030.0785,473796.6578,510036.2682,88766.57928,0.650219023,78070435.95
TUV,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,4172.5603
TWN,2465048.94,25057.80255,29314.59056,63675.99801,4256.788017,0.166685998,3640633.597
TZA,27968218.85,4374164.769,557235.6116,1437826.817,-3816929.158,-11.29930019,94057605.43
UGA,2947708.359,1238023.462,185026.6322,313915.9604,-1052996.83,-23.40180016,24144006.82
UKR,9065233.102,499821.4538,926367.2171,895296.2712,426545.7633,4.077720165,60136264.37
UMI,60.81547964,6.359419885,4.458704871,91.58840497,-1.900715015,-1.197199941,4726.825841
URY,659122.2229,112760.4201,654493.5038,230107.5801,541733.0837,54.06570053,17746563.39
USA,237725811.8,17472750.87,13986759.49,28365368.84,-3485991.38,-1.229349971,947301496.7
UZB,154547.8563,3494.647046,43149.21755,147.4116399,39654.5705,25.06769943,44755552.47
VAT,12.49955562,0.00E+00,0.057601062,0.00E+00,0.057601062,0.460822999,52.67233598
VCT,30990.39788,885.1411288,126.8197636,427.3877138,-758.3213652,-2.347529888,39794.54017
VEN,51803026.08,1860299.206,491357.7329,1332976.395,-1368941.473,-2.489150047,91249271.88
VGB,7322.52854,150.3974909,23.8967681,383.143236,-126.5007228,-1.610229969,16935.67071
VIR,17079.67869,895.208057,209.2410978,1703.14131,-685.9669592,-3.485960007,36215.98036
VNM,13636990.64,1650186.839,1004759.743,5231239.368,-645427.0966,-3.14560008,32927630.64
VUT,1130094.605,4005.148453,302.552144,20493.74698,-3702.596309,-0.320684999,1231898.566
XAD,212.7985592,33.87242953,41.99979896,10.10800923,8.127369434,3.165119886,23445.70262
XCA,1132.917221,285.7521031,300.2439453,0.348377637,14.49184226,1.021260023,37158195.58
XCL,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,1009.730044
XKO,393329.9319,14130.40693,9293.232272,23436.37955,-4837.174656,-1.122580051,1091980.135
XNC,28003.51642,845.9114365,1628.395563,256.7938319,782.4841266,2.688380003,331396.4845
XSP,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,187.4685474
YEM,99828.01389,28.26820131,7046.684871,3.925498438,7018.41667,7.028240204,45223814.37
ZAF,5800976.495,530016.4975,388239.9803,1280110.906,-141776.5172,-1.862759948,121970907.7
ZMB,34159461.78,3640266.872,768156.0526,1514003.688,-2872110.819,-7.305620193,75049044.84
ZWE,6028288.556,550426.9299,151988.8487,161937.625,-398438.0812,-5.910970211,39068069.68
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
